County,Candidate,Party,Share,Votes
ADAMS,"LANE, TIMIKA",DEM,32.43%,"6,950"
ADAMS,"SULLIVAN , MEGAN",REP,67.57%,"14,481"
ALLEGHENY,"LANE, TIMIKA",DEM,58.70%,"168,651"
ALLEGHENY,"SULLIVAN , MEGAN",REP,41.30%,"118,663"
ARMSTRONG,"LANE, TIMIKA",DEM,17.09%,"1,950"
ARMSTRONG,"SULLIVAN , MEGAN",REP,82.91%,"9,457"
BEAVER,"LANE, TIMIKA",DEM,40.03%,"14,749"
BEAVER,"SULLIVAN , MEGAN",REP,59.97%,"22,099"
BEDFORD,"LANE, TIMIKA",DEM,18.33%,"1,677"
BEDFORD,"SULLIVAN , MEGAN",REP,81.67%,"7,470"
BERKS,"LANE, TIMIKA",DEM,39.07%,"27,380"
BERKS,"SULLIVAN , MEGAN",REP,60.93%,"42,703"
BLAIR,"LANE, TIMIKA",DEM,19.19%,"4,345"
BLAIR,"SULLIVAN , MEGAN",REP,80.81%,"18,297"
BRADFORD,"LANE, TIMIKA",DEM,24.06%,"2,765"
BRADFORD,"SULLIVAN , MEGAN",REP,75.94%,"8,725"
BUCKS,"LANE, TIMIKA",DEM,46.10%,"84,612"
BUCKS,"SULLIVAN , MEGAN",REP,53.90%,"98,930"
BUTLER,"LANE, TIMIKA",DEM,31.26%,"13,499"
BUTLER,"SULLIVAN , MEGAN",REP,68.74%,"29,680"
CAMBRIA,"LANE, TIMIKA",DEM,30.81%,"9,102"
CAMBRIA,"SULLIVAN , MEGAN",REP,69.19%,"20,443"
CAMERON,"LANE, TIMIKA",DEM,22.68%,261
CAMERON,"SULLIVAN , MEGAN",REP,77.32%,890
CARBON,"LANE, TIMIKA",DEM,32.90%,"4,282"
CARBON,"SULLIVAN , MEGAN",REP,67.10%,"8,733"
CENTRE,"LANE, TIMIKA",DEM,46.88%,"15,086"
CENTRE,"SULLIVAN , MEGAN",REP,53.12%,"17,094"
CHESTER,"LANE, TIMIKA",DEM,49.09%,"63,840"
CHESTER,"SULLIVAN , MEGAN",REP,50.91%,"66,199"
CLARION,"LANE, TIMIKA",DEM,22.36%,"1,967"
CLARION,"SULLIVAN , MEGAN",REP,77.64%,"6,830"
CLEARFIELD,"LANE, TIMIKA",DEM,24.62%,"4,221"
CLEARFIELD,"SULLIVAN , MEGAN",REP,75.38%,"12,922"
CLINTON,"LANE, TIMIKA",DEM,31.58%,"2,071"
CLINTON,"SULLIVAN , MEGAN",REP,68.42%,"4,486"
COLUMBIA,"LANE, TIMIKA",DEM,33.18%,70
COLUMBIA,"SULLIVAN , MEGAN",REP,66.82%,141
CRAWFORD,"LANE, TIMIKA",DEM,21.22%,"2,790"
CRAWFORD,"SULLIVAN , MEGAN",REP,78.78%,"10,358"
CUMBERLAND,"LANE, TIMIKA",DEM,31.05%,"13,229"
CUMBERLAND,"SULLIVAN , MEGAN",REP,68.95%,"29,383"
DAUPHIN,"LANE, TIMIKA",DEM,45.84%,"27,276"
DAUPHIN,"SULLIVAN , MEGAN",REP,54.16%,"32,225"
DELAWARE,"LANE, TIMIKA",DEM,49.99%,"64,483"
DELAWARE,"SULLIVAN , MEGAN",REP,50.01%,"64,501"
ELK,"LANE, TIMIKA",DEM,28.70%,"2,064"
ELK,"SULLIVAN , MEGAN",REP,71.30%,"5,127"
ERIE,"LANE, TIMIKA",DEM,43.32%,"26,336"
ERIE,"SULLIVAN , MEGAN",REP,56.68%,"34,452"
FAYETTE,"LANE, TIMIKA",DEM,36.66%,"7,746"
FAYETTE,"SULLIVAN , MEGAN",REP,63.34%,"13,383"
FOREST,"LANE, TIMIKA",DEM,25.65%,375
FOREST,"SULLIVAN , MEGAN",REP,74.35%,"1,087"
FRANKLIN,"LANE, TIMIKA",DEM,15.67%,"3,716"
FRANKLIN,"SULLIVAN , MEGAN",REP,84.33%,"19,991"
FULTON,"LANE, TIMIKA",DEM,15.39%,469
FULTON,"SULLIVAN , MEGAN",REP,84.61%,"2,578"
GREENE,"LANE, TIMIKA",DEM,24.24%,"1,485"
GREENE,"SULLIVAN , MEGAN",REP,75.76%,"4,640"
HUNTINGDON,"LANE, TIMIKA",DEM,23.02%,"2,040"
HUNTINGDON,"SULLIVAN , MEGAN",REP,76.98%,"6,821"
INDIANA,"LANE, TIMIKA",DEM,30.51%,"6,221"
INDIANA,"SULLIVAN , MEGAN",REP,69.49%,"14,167"
JEFFERSON,"LANE, TIMIKA",DEM,19.23%,"1,925"
JEFFERSON,"SULLIVAN , MEGAN",REP,80.77%,"8,088"
JUNIATA,"LANE, TIMIKA",DEM,18.35%,882
JUNIATA,"SULLIVAN , MEGAN",REP,81.65%,"3,925"
LACKAWANNA,"LANE, TIMIKA",DEM,55.07%,"26,433"
LACKAWANNA,"SULLIVAN , MEGAN",REP,44.93%,"21,562"
LANCASTER,"LANE, TIMIKA",DEM,33.73%,"33,794"
LANCASTER,"SULLIVAN , MEGAN",REP,66.27%,"66,395"
LAWRENCE,"LANE, TIMIKA",DEM,35.41%,"6,072"
LAWRENCE,"SULLIVAN , MEGAN",REP,64.59%,"11,075"
LEBANON,"LANE, TIMIKA",DEM,29.13%,"8,100"
LEBANON,"SULLIVAN , MEGAN",REP,70.87%,"19,708"
LEHIGH,"LANE, TIMIKA",DEM,48.17%,"34,126"
LEHIGH,"SULLIVAN , MEGAN",REP,51.83%,"36,719"
LUZERNE,"LANE, TIMIKA",DEM,40.11%,"22,108"
LUZERNE,"SULLIVAN , MEGAN",REP,59.89%,"33,004"
LYCOMING,"LANE, TIMIKA",DEM,24.85%,"5,561"
LYCOMING,"SULLIVAN , MEGAN",REP,75.15%,"16,819"
