County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"COVEY, ANNE",66.80%,33.20%,"11,811","5,869"
ADAMS,"JUBELIRER, RENEE COHN",66.50%,33.50%,"11,722","5,904"
ALLEGHENY,"COVEY, ANNE",59.94%,40.06%,"143,439","95,876"
ALLEGHENY,"JUBELIRER, RENEE COHN",61.86%,38.14%,"148,184","91,346"
ARMSTRONG,"COVEY, ANNE",59.75%,40.25%,"5,477","3,689"
ARMSTRONG,"JUBELIRER, RENEE COHN",58.65%,41.35%,"5,389","3,799"
BEAVER,"COVEY, ANNE",58.45%,41.55%,"18,692","13,290"
BEAVER,"JUBELIRER, RENEE COHN",58.13%,41.87%,"18,557","13,367"
BEDFORD,"COVEY, ANNE",63.70%,36.30%,"4,839","2,757"
BEDFORD,"JUBELIRER, RENEE COHN",64.78%,35.22%,"5,072","2,757"
BERKS,"COVEY, ANNE",63.54%,36.46%,"35,177","20,186"
BERKS,"JUBELIRER, RENEE COHN",63.88%,36.12%,"35,218","19,911"
BLAIR,"COVEY, ANNE",71.13%,28.87%,"13,788","5,596"
BLAIR,"JUBELIRER, RENEE COHN",71.09%,28.91%,"14,042","5,710"
BRADFORD,"COVEY, ANNE",69.80%,30.20%,"6,961","3,012"
BRADFORD,"JUBELIRER, RENEE COHN",68.63%,31.37%,"6,807","3,111"
BUCKS,"COVEY, ANNE",61.02%,38.98%,"95,623","61,092"
BUCKS,"JUBELIRER, RENEE COHN",61.94%,38.06%,"96,813","59,488"
BUTLER,"COVEY, ANNE",60.64%,39.36%,"22,042","14,305"
BUTLER,"JUBELIRER, RENEE COHN",60.88%,39.12%,"22,088","14,191"
CAMBRIA,"COVEY, ANNE",62.17%,37.83%,"16,379","9,965"
CAMBRIA,"JUBELIRER, RENEE COHN",61.88%,38.12%,"16,343","10,068"
CAMERON,"COVEY, ANNE",60.90%,39.10%,634,407
CAMERON,"JUBELIRER, RENEE COHN",59.65%,40.35%,618,418
CARBON,"COVEY, ANNE",67.09%,32.91%,"7,511","3,685"
CARBON,"JUBELIRER, RENEE COHN",65.92%,34.08%,"7,303","3,776"
CENTRE,"COVEY, ANNE",59.89%,40.11%,"16,217","10,861"
