County,Candidate,Party,Share,Votes
ADAMS,"DUMAS, LORI A",DEM,18.43%,"7,083"
ADAMS,"SPURGEON, DAVID LEE",DEM,16.38%,"6,295"
ADAMS,"WALLACE, STACY MARIE",REP,33.27%,"12,788"
ADAMS,"CROMPTON, DREW",REP,31.93%,"12,274"
ALLEGHENY,"DUMAS, LORI A",DEM,33.34%,"136,675"
ALLEGHENY,"SPURGEON, DAVID LEE",DEM,31.80%,"130,375"
ALLEGHENY,"WALLACE, STACY MARIE",REP,17.85%,"73,194"
ALLEGHENY,"CROMPTON, DREW",REP,17.01%,"69,741"
ARMSTRONG,"DUMAS, LORI A",DEM,10.26%,"2,045"
ARMSTRONG,"SPURGEON, DAVID LEE",DEM,9.40%,"1,873"
ARMSTRONG,"WALLACE, STACY MARIE",REP,41.64%,"8,297"
ARMSTRONG,"CROMPTON, DREW",REP,38.70%,"7,712"
BEAVER,"DUMAS, LORI A",DEM,22.76%,"15,264"
BEAVER,"SPURGEON, DAVID LEE",DEM,20.65%,"13,849"
BEAVER,"WALLACE, STACY MARIE",REP,29.39%,"19,705"
BEAVER,"CROMPTON, DREW",REP,27.20%,"18,240"
BEDFORD,"DUMAS, LORI A",DEM,10.63%,"1,774"
BEDFORD,"SPURGEON, DAVID LEE",DEM,9.31%,"1,554"
BEDFORD,"WALLACE, STACY MARIE",REP,41.75%,"6,970"
BEDFORD,"CROMPTON, DREW",REP,38.32%,"6,398"
BERKS,"DUMAS, LORI A",DEM,22.76%,"26,709"
BERKS,"SPURGEON, DAVID LEE",DEM,19.99%,"23,454"
BERKS,"WALLACE, STACY MARIE",REP,29.52%,"34,634"
BERKS,"CROMPTON, DREW",REP,27.73%,"32,532"
BLAIR,"DUMAS, LORI A",DEM,12.15%,"4,348"
BLAIR,"SPURGEON, DAVID LEE",DEM,10.79%,"3,861"
BLAIR,"WALLACE, STACY MARIE",REP,39.65%,"14,192"
BLAIR,"CROMPTON, DREW",REP,37.41%,"13,391"
BRADFORD,"DUMAS, LORI A",DEM,13.79%,"2,919"
BRADFORD,"SPURGEON, DAVID LEE",DEM,11.97%,"2,533"
BRADFORD,"WALLACE, STACY MARIE",REP,38.78%,"8,207"
BRADFORD,"CROMPTON, DREW",REP,35.46%,"7,503"
BUCKS,"DUMAS, LORI A",DEM,29.72%,"23,557"
BUCKS,"SPURGEON, DAVID LEE",DEM,26.64%,"21,119"
BUCKS,"WALLACE, STACY MARIE",REP,22.40%,"17,755"
BUCKS,"CROMPTON, DREW",REP,21.24%,"16,835"
BUTLER,"DUMAS, LORI A",DEM,0.00%,0
BUTLER,"SPURGEON, DAVID LEE",DEM,0.00%,0
BUTLER,"WALLACE, STACY MARIE",REP,0.00%,0
BUTLER,"CROMPTON, DREW",REP,0.00%,0
CAMBRIA,"DUMAS, LORI A",DEM,14.06%,"5,307"
CAMBRIA,"SPURGEON, DAVID LEE",DEM,11.76%,"4,441"
CAMBRIA,"WALLACE, STACY MARIE",REP,38.94%,"14,702"
CAMBRIA,"CROMPTON, DREW",REP,35.24%,"13,302"
CAMERON,"DUMAS, LORI A",DEM,13.65%,297
CAMERON,"SPURGEON, DAVID LEE",DEM,10.94%,238
CAMERON,"WALLACE, STACY MARIE",REP,39.52%,860
CAMERON,"CROMPTON, DREW",REP,35.89%,781
CARBON,"DUMAS, LORI A",DEM,18.73%,"4,448"
CARBON,"SPURGEON, DAVID LEE",DEM,16.08%,"3,818"
CARBON,"WALLACE, STACY MARIE",REP,34.35%,"8,156"
CARBON,"CROMPTON, DREW",REP,30.84%,"7,322"
CENTRE,"DUMAS, LORI A",DEM,20.12%,"8,139"
CENTRE,"SPURGEON, DAVID LEE",DEM,18.45%,"7,464"
CENTRE,"WALLACE, STACY MARIE",REP,31.87%,"12,892"
CENTRE,"CROMPTON, DREW",REP,29.56%,"11,958"
CHESTER,"DUMAS, LORI A",DEM,23.22%,"24,058"
CHESTER,"SPURGEON, DAVID LEE",DEM,20.14%,"20,866"
CHESTER,"WALLACE, STACY MARIE",REP,28.68%,"29,716"
CHESTER,"CROMPTON, DREW",REP,27.95%,"28,959"
