County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"COVEY, ANNE",66.80%,33.20%,"11,811","5,869"
ADAMS,"JUBELIRER, RENEE COHN",66.50%,33.50%,"11,722","5,904"
ALLEGHENY,"COVEY, ANNE",59.21%,40.79%,"108,959","75,052"
ALLEGHENY,"JUBELIRER, RENEE COHN",61.63%,38.37%,"113,473","70,660"
ARMSTRONG,"COVEY, ANNE",59.75%,40.25%,"5,477","3,689"
ARMSTRONG,"JUBELIRER, RENEE COHN",58.65%,41.35%,"5,389","3,799"
BEAVER,"COVEY, ANNE",58.45%,41.55%,"18,692","13,290"
BEAVER,"JUBELIRER, RENEE COHN",58.13%,41.87%,"18,557","13,367"
BEDFORD,"COVEY, ANNE",63.70%,36.30%,"4,839","2,757"
BEDFORD,"JUBELIRER, RENEE COHN",64.78%,35.22%,"5,072","2,757"
BERKS,"COVEY, ANNE",63.32%,36.68%,"31,704","18,366"
BERKS,"JUBELIRER, RENEE COHN",63.79%,36.21%,"31,808","18,054"
BLAIR,"COVEY, ANNE",70.70%,29.30%,"11,838","4,905"
BLAIR,"JUBELIRER, RENEE COHN",70.51%,29.49%,"12,041","5,036"
BRADFORD,"COVEY, ANNE",69.80%,30.20%,"6,961","3,012"
BRADFORD,"JUBELIRER, RENEE COHN",68.63%,31.37%,"6,807","3,111"
BUCKS,"COVEY, ANNE",57.97%,42.03%,"21,423","15,534"
BUCKS,"JUBELIRER, RENEE COHN",59.94%,40.06%,"22,081","14,756"
BUTLER,"COVEY, ANNE",0.00%,0.00%,0,0
BUTLER,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CAMBRIA,"COVEY, ANNE",62.81%,37.19%,"11,546","6,835"
CAMBRIA,"JUBELIRER, RENEE COHN",62.27%,37.73%,"11,473","6,952"
CAMERON,"COVEY, ANNE",60.90%,39.10%,634,407
CAMERON,"JUBELIRER, RENEE COHN",59.65%,40.35%,618,418
CARBON,"COVEY, ANNE",67.09%,32.91%,"7,511","3,685"
CARBON,"JUBELIRER, RENEE COHN",65.92%,34.08%,"7,303","3,776"
CENTRE,"COVEY, ANNE",63.36%,36.64%,"11,331","6,553"
CENTRE,"JUBELIRER, RENEE COHN",62.01%,37.99%,"11,059","6,776"
