County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"COVEY, ANNE",0.00%,0.00%,0,0
ADAMS,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
ALLEGHENY,"COVEY, ANNE",0.00%,0.00%,0,0
ALLEGHENY,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
ARMSTRONG,"COVEY, ANNE",0.00%,0.00%,0,0
ARMSTRONG,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BEAVER,"COVEY, ANNE",0.00%,0.00%,0,0
BEAVER,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BEDFORD,"COVEY, ANNE",0.00%,0.00%,0,0
BEDFORD,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BERKS,"COVEY, ANNE",0.00%,0.00%,0,0
BERKS,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BLAIR,"COVEY, ANNE",0.00%,0.00%,0,0
BLAIR,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BRADFORD,"COVEY, ANNE",0.00%,0.00%,0,0
BRADFORD,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BUCKS,"COVEY, ANNE",0.00%,0.00%,0,0
BUCKS,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
BUTLER,"COVEY, ANNE",0.00%,0.00%,0,0
BUTLER,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CAMBRIA,"COVEY, ANNE",0.00%,0.00%,0,0
CAMBRIA,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CAMERON,"COVEY, ANNE",0.00%,0.00%,0,0
CAMERON,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CARBON,"COVEY, ANNE",0.00%,0.00%,0,0
CARBON,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CENTRE,"COVEY, ANNE",0.00%,0.00%,0,0
CENTRE,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CHESTER,"COVEY, ANNE",0.00%,0.00%,0,0
CHESTER,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CLARION,"COVEY, ANNE",0.00%,0.00%,0,0
CLARION,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CLEARFIELD,"COVEY, ANNE",0.00%,0.00%,0,0
CLEARFIELD,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CLINTON,"COVEY, ANNE",0.00%,0.00%,0,0
CLINTON,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
COLUMBIA,"COVEY, ANNE",0.00%,0.00%,0,0
COLUMBIA,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CRAWFORD,"COVEY, ANNE",0.00%,0.00%,0,0
CRAWFORD,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
CUMBERLAND,"COVEY, ANNE",0.00%,0.00%,0,0
CUMBERLAND,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
DAUPHIN,"COVEY, ANNE",0.00%,0.00%,0,0
DAUPHIN,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
DELAWARE,"COVEY, ANNE",0.00%,0.00%,0,0
DELAWARE,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
ELK,"COVEY, ANNE",0.00%,0.00%,0,0
ELK,"JUBELIRER, RENEE COHN",0.00%,0.00%,0,0
ERIE,"COVEY, ANNE",0.00%,0.00%,0,0
