,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
62,CLARION,"SOLOSKI, JOSEPH P",LIB,2.51%,482,393,84,5
63,CLARION,"RUNKLE, TIMOTHY",GRN,0.76%,146,102,42,2
64,CLEARFIELD,"TORSELLA, JOSEPH M",DEM,25.93%,"10,086",5396,4603,87
65,CLEARFIELD,"GARRITY, STACY L",REP,70.91%,"27,576",24035,3342,199
66,CLEARFIELD,"SOLOSKI, JOSEPH P",LIB,2.24%,870,674,188,8
67,CLEARFIELD,"RUNKLE, TIMOTHY",GRN,0.92%,358,240,113,5
68,CLINTON,"TORSELLA, JOSEPH M",DEM,31.54%,"5,493",2797,2616,80
69,CLINTON,"GARRITY, STACY L",REP,65.33%,"11,379",9668,1489,222
70,CLINTON,"SOLOSKI, JOSEPH P",LIB,2.13%,371,295,73,3
71,CLINTON,"RUNKLE, TIMOTHY",GRN,1.00%,175,112,56,7
72,COLUMBIA,"TORSELLA, JOSEPH M",DEM,37.11%,"11,409",5824,5463,122
73,COLUMBIA,"GARRITY, STACY L",REP,58.95%,"18,126",15352,2568,206
74,COLUMBIA,"SOLOSKI, JOSEPH P",LIB,2.59%,796,579,207,10
75,COLUMBIA,"RUNKLE, TIMOTHY",GRN,1.35%,416,253,158,5
76,CRAWFORD,"TORSELLA, JOSEPH M",DEM,29.81%,"12,268",6078,5942,248
77,CRAWFORD,"GARRITY, STACY L",REP,66.34%,"27,299",22791,3999,509
78,CRAWFORD,"SOLOSKI, JOSEPH P",LIB,2.67%,"1,100",844,225,31
79,CRAWFORD,"RUNKLE, TIMOTHY",GRN,1.17%,483,296,177,10
80,CUMBERLAND,"TORSELLA, JOSEPH M",DEM,39.87%,"55,652",22250,32907,495
81,CUMBERLAND,"GARRITY, STACY L",REP,56.18%,"78,424",60723,16904,797
82,CUMBERLAND,"SOLOSKI, JOSEPH P",LIB,2.61%,"3,637",2513,1076,48
83,CUMBERLAND,"RUNKLE, TIMOTHY",GRN,1.34%,"1,871",981,872,18
84,DAUPHIN,"TORSELLA, JOSEPH M",DEM,50.34%,"72,586",32404,38788,1394
85,DAUPHIN,"GARRITY, STACY L",REP,45.59%,"65,729",51715,12882,1132
86,DAUPHIN,"SOLOSKI, JOSEPH P",LIB,2.46%,"3,553",2453,1011,89
87,DAUPHIN,"RUNKLE, TIMOTHY",GRN,1.60%,"2,313",1338,929,46
88,DELAWARE,"TORSELLA, JOSEPH M",DEM,58.87%,"189,646",86759,98785,4102
89,DELAWARE,"GARRITY, STACY L",REP,38.62%,"124,401",97269,24893,2239
90,DELAWARE,"SOLOSKI, JOSEPH P",LIB,1.61%,"5,197",3428,1635,134
91,DELAWARE,"RUNKLE, TIMOTHY",GRN,0.90%,"2,896",1447,1372,77
92,ELK,"TORSELLA, JOSEPH M",DEM,28.37%,"4,730",2638,2043,49
93,ELK,"GARRITY, STACY L",REP,68.32%,"11,391",9658,1600,133
94,ELK,"SOLOSKI, JOSEPH P",LIB,2.43%,405,328,71,6
95,ELK,"RUNKLE, TIMOTHY",GRN,0.89%,148,111,36,1
96,ERIE,"TORSELLA, JOSEPH M",DEM,48.47%,"64,440",30027,33536,877
97,ERIE,"GARRITY, STACY L",REP,46.66%,"62,029",49090,12115,824
98,ERIE,"SOLOSKI, JOSEPH P",LIB,3.66%,"4,870",3545,1209,116
99,ERIE,"RUNKLE, TIMOTHY",GRN,1.20%,"1,601",945,619,37
100,FAYETTE,"TORSELLA, JOSEPH M",DEM,35.77%,"21,537",10496,10431,610
101,FAYETTE,"GARRITY, STACY L",REP,61.64%,"37,111",31540,4696,875
102,FAYETTE,"SOLOSKI, JOSEPH P",LIB,1.81%,"1,091",812,250,29
103,FAYETTE,"RUNKLE, TIMOTHY",GRN,0.78%,470,299,154,17
104,FOREST,"TORSELLA, JOSEPH M",DEM,26.84%,699,317,380,2
105,FOREST,"GARRITY, STACY L",REP,69.59%,"1,812",1497,303,12
106,FOREST,"SOLOSKI, JOSEPH P",LIB,2.38%,62,47,12,3
107,FOREST,"RUNKLE, TIMOTHY",GRN,1.19%,31,24,7,0
108,FRANKLIN,"TORSELLA, JOSEPH M",DEM,25.40%,"20,123",8558,11350,215
109,FRANKLIN,"GARRITY, STACY L",REP,71.17%,"56,387",47438,8439,510
110,FRANKLIN,"SOLOSKI, JOSEPH P",LIB,2.35%,"1,861",1417,428,16
111,FRANKLIN,"RUNKLE, TIMOTHY",GRN,1.09%,862,544,307,11
112,FULTON,"TORSELLA, JOSEPH M",DEM,13.43%,"1,044",555,476,13
113,FULTON,"GARRITY, STACY L",REP,84.46%,"6,563",5768,686,109
114,FULTON,"SOLOSKI, JOSEPH P",LIB,1.58%,123,95,26,2
115,FULTON,"RUNKLE, TIMOTHY",GRN,0.53%,41,31,10,0
116,GREENE,"TORSELLA, JOSEPH M",DEM,31.69%,"5,415",2726,2648,41
117,GREENE,"GARRITY, STACY L",REP,64.97%,"11,101",9552,1431,118
118,GREENE,"SOLOSKI, JOSEPH P",LIB,2.24%,382,299,82,1
119,GREENE,"RUNKLE, TIMOTHY",GRN,1.10%,188,143,41,4
120,HUNTINGDON,"TORSELLA, JOSEPH M",DEM,23.04%,"5,169",2707,2431,31
121,HUNTINGDON,"GARRITY, STACY L",REP,74.01%,"16,603",14556,1961,86
122,HUNTINGDON,"SOLOSKI, JOSEPH P",LIB,2.06%,462,374,83,5
123,HUNTINGDON,"RUNKLE, TIMOTHY",GRN,0.88%,198,132,63,3
124,INDIANA,"TORSELLA, JOSEPH M",DEM,31.61%,"12,850",6390,6310,150
125,INDIANA,"GARRITY, STACY L",REP,65.02%,"26,431",22327,3865,239
126,INDIANA,"SOLOSKI, JOSEPH P",LIB,2.41%,981,763,202,16
127,INDIANA,"RUNKLE, TIMOTHY",GRN,0.96%,391,259,127,5
128,JEFFERSON,"TORSELLA, JOSEPH M",DEM,19.94%,"4,555",2489,1993,46
129,JEFFERSON,"GARRITY, STACY L",REP,77.00%,"17,587",15062,1964,217
130,JEFFERSON,"SOLOSKI, JOSEPH P",LIB,2.22%,507,408,90,7
131,JEFFERSON,"RUNKLE, TIMOTHY",GRN,0.83%,190,130,56,3
132,JUNIATA,"TORSELLA, JOSEPH M",DEM,18.97%,"2,236",1200,1018,18
133,JUNIATA,"GARRITY, STACY L",REP,78.36%,"9,235",7942,1222,71
134,JUNIATA,"SOLOSKI, JOSEPH P",LIB,1.76%,208,166,41,1
135,JUNIATA,"RUNKLE, TIMOTHY",GRN,0.90%,106,75,29,2
136,LACKAWANNA,"TORSELLA, JOSEPH M",DEM,54.71%,"61,104",29541,30737,826
137,LACKAWANNA,"GARRITY, STACY L",REP,41.79%,"46,677",37624,8313,740
