County,Candidate,Party,Share,Votes
ADAMS,"LANE, TIMIKA",DEM,32.43%,"6,950"
ADAMS,"SULLIVAN , MEGAN",REP,67.57%,"14,481"
ALLEGHENY,"LANE, TIMIKA",DEM,61.85%,"135,468"
ALLEGHENY,"SULLIVAN , MEGAN",REP,38.15%,"83,553"
ARMSTRONG,"LANE, TIMIKA",DEM,16.98%,"1,912"
ARMSTRONG,"SULLIVAN , MEGAN",REP,83.02%,"9,349"
BEAVER,"LANE, TIMIKA",DEM,40.03%,"14,749"
BEAVER,"SULLIVAN , MEGAN",REP,59.97%,"22,099"
BEDFORD,"LANE, TIMIKA",DEM,18.33%,"1,677"
BEDFORD,"SULLIVAN , MEGAN",REP,81.67%,"7,470"
BERKS,"LANE, TIMIKA",DEM,40.75%,"25,612"
BERKS,"SULLIVAN , MEGAN",REP,59.25%,"37,239"
BLAIR,"LANE, TIMIKA",DEM,19.27%,"4,246"
BLAIR,"SULLIVAN , MEGAN",REP,80.73%,"17,792"
BRADFORD,"LANE, TIMIKA",DEM,24.06%,"2,765"
BRADFORD,"SULLIVAN , MEGAN",REP,75.94%,"8,725"
BUCKS,"LANE, TIMIKA",DEM,55.16%,"23,410"
BUCKS,"SULLIVAN , MEGAN",REP,44.84%,"19,027"
BUTLER,"LANE, TIMIKA",DEM,0.00%,0
BUTLER,"SULLIVAN , MEGAN",REP,0.00%,0
CAMBRIA,"LANE, TIMIKA",DEM,22.30%,"4,649"
CAMBRIA,"SULLIVAN , MEGAN",REP,77.70%,"16,194"
CAMERON,"LANE, TIMIKA",DEM,22.68%,261
CAMERON,"SULLIVAN , MEGAN",REP,77.32%,890
CARBON,"LANE, TIMIKA",DEM,32.90%,"4,282"
CARBON,"SULLIVAN , MEGAN",REP,67.10%,"8,733"
CENTRE,"LANE, TIMIKA",DEM,46.88%,"15,086"
CENTRE,"SULLIVAN , MEGAN",REP,53.12%,"17,094"
CHESTER,"LANE, TIMIKA",DEM,41.52%,"35,549"
CHESTER,"SULLIVAN , MEGAN",REP,58.48%,"50,073"
CLARION,"LANE, TIMIKA",DEM,18.87%,"1,531"
CLARION,"SULLIVAN , MEGAN",REP,81.13%,"6,584"
CLEARFIELD,"LANE, TIMIKA",DEM,24.62%,"4,221"
CLEARFIELD,"SULLIVAN , MEGAN",REP,75.38%,"12,922"
CLINTON,"LANE, TIMIKA",DEM,31.58%,"2,071"
CLINTON,"SULLIVAN , MEGAN",REP,68.42%,"4,486"
COLUMBIA,"LANE, TIMIKA",DEM,33.18%,70
COLUMBIA,"SULLIVAN , MEGAN",REP,66.82%,141
CRAWFORD,"LANE, TIMIKA",DEM,22.86%,"1,851"
CRAWFORD,"SULLIVAN , MEGAN",REP,77.14%,"6,247"
CUMBERLAND,"LANE, TIMIKA",DEM,31.05%,"13,229"
CUMBERLAND,"SULLIVAN , MEGAN",REP,68.95%,"29,383"
DAUPHIN,"LANE, TIMIKA",DEM,48.91%,"21,876"
DAUPHIN,"SULLIVAN , MEGAN",REP,51.09%,"22,850"
DELAWARE,"LANE, TIMIKA",DEM,52.71%,"22,864"
DELAWARE,"SULLIVAN , MEGAN",REP,47.29%,"20,510"
ELK,"LANE, TIMIKA",DEM,28.70%,"2,064"
ELK,"SULLIVAN , MEGAN",REP,71.30%,"5,127"
ERIE,"LANE, TIMIKA",DEM,48.38%,"21,160"
ERIE,"SULLIVAN , MEGAN",REP,51.62%,"22,574"
FAYETTE,"LANE, TIMIKA",DEM,36.66%,"7,746"
FAYETTE,"SULLIVAN , MEGAN",REP,63.34%,"13,383"
FOREST,"LANE, TIMIKA",DEM,25.65%,375
FOREST,"SULLIVAN , MEGAN",REP,74.35%,"1,087"
FRANKLIN,"LANE, TIMIKA",DEM,15.67%,"3,716"
FRANKLIN,"SULLIVAN , MEGAN",REP,84.33%,"19,991"
FULTON,"LANE, TIMIKA",DEM,15.39%,469
FULTON,"SULLIVAN , MEGAN",REP,84.61%,"2,578"
GREENE,"LANE, TIMIKA",DEM,24.24%,"1,485"
GREENE,"SULLIVAN , MEGAN",REP,75.76%,"4,640"
HUNTINGDON,"LANE, TIMIKA",DEM,23.02%,"2,040"
HUNTINGDON,"SULLIVAN , MEGAN",REP,76.98%,"6,821"
INDIANA,"LANE, TIMIKA",DEM,30.51%,"6,221"
INDIANA,"SULLIVAN , MEGAN",REP,69.49%,"14,167"
JEFFERSON,"LANE, TIMIKA",DEM,19.23%,"1,925"
JEFFERSON,"SULLIVAN , MEGAN",REP,80.77%,"8,088"
JUNIATA,"LANE, TIMIKA",DEM,18.35%,882
JUNIATA,"SULLIVAN , MEGAN",REP,81.65%,"3,925"
LACKAWANNA,"LANE, TIMIKA",DEM,55.07%,"26,433"
LACKAWANNA,"SULLIVAN , MEGAN",REP,44.93%,"21,562"
LANCASTER,"LANE, TIMIKA",DEM,0.00%,0
LANCASTER,"SULLIVAN , MEGAN",REP,0.00%,0
LAWRENCE,"LANE, TIMIKA",DEM,0.00%,0
LAWRENCE,"SULLIVAN , MEGAN",REP,0.00%,0
LEBANON,"LANE, TIMIKA",DEM,29.13%,"8,100"
LEBANON,"SULLIVAN , MEGAN",REP,70.87%,"19,708"
LEHIGH,"LANE, TIMIKA",DEM,48.30%,"21,986"
LEHIGH,"SULLIVAN , MEGAN",REP,51.70%,"23,530"
LUZERNE,"LANE, TIMIKA",DEM,69.09%,"11,093"
LUZERNE,"SULLIVAN , MEGAN",REP,30.91%,"4,963"
LYCOMING,"LANE, TIMIKA",DEM,24.85%,"5,561"
LYCOMING,"SULLIVAN , MEGAN",REP,75.15%,"16,819"
McKEAN,"LANE, TIMIKA",DEM,24.31%,"1,839"
