County,Candidate,Party,Share,Votes
ADAMS,"MCLAUGHLIN, MARIA",DEM,0.00%,0
ADAMS,"BROBSON, KEVIN",REP,0.00%,0
ALLEGHENY,"MCLAUGHLIN, MARIA",DEM,0.00%,0
ALLEGHENY,"BROBSON, KEVIN",REP,0.00%,0
ARMSTRONG,"MCLAUGHLIN, MARIA",DEM,0.00%,0
ARMSTRONG,"BROBSON, KEVIN",REP,0.00%,0
BEAVER,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BEAVER,"BROBSON, KEVIN",REP,0.00%,0
BEDFORD,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BEDFORD,"BROBSON, KEVIN",REP,0.00%,0
BERKS,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BERKS,"BROBSON, KEVIN",REP,0.00%,0
BLAIR,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BLAIR,"BROBSON, KEVIN",REP,0.00%,0
BRADFORD,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BRADFORD,"BROBSON, KEVIN",REP,0.00%,0
BUCKS,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BUCKS,"BROBSON, KEVIN",REP,0.00%,0
BUTLER,"MCLAUGHLIN, MARIA",DEM,0.00%,0
BUTLER,"BROBSON, KEVIN",REP,0.00%,0
CAMBRIA,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CAMBRIA,"BROBSON, KEVIN",REP,0.00%,0
CAMERON,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CAMERON,"BROBSON, KEVIN",REP,0.00%,0
CARBON,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CARBON,"BROBSON, KEVIN",REP,0.00%,0
CENTRE,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CENTRE,"BROBSON, KEVIN",REP,0.00%,0
CHESTER,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CHESTER,"BROBSON, KEVIN",REP,0.00%,0
CLARION,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CLARION,"BROBSON, KEVIN",REP,0.00%,0
CLEARFIELD,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CLEARFIELD,"BROBSON, KEVIN",REP,0.00%,0
CLINTON,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CLINTON,"BROBSON, KEVIN",REP,0.00%,0
COLUMBIA,"MCLAUGHLIN, MARIA",DEM,0.00%,0
COLUMBIA,"BROBSON, KEVIN",REP,0.00%,0
CRAWFORD,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CRAWFORD,"BROBSON, KEVIN",REP,0.00%,0
CUMBERLAND,"MCLAUGHLIN, MARIA",DEM,0.00%,0
CUMBERLAND,"BROBSON, KEVIN",REP,0.00%,0
DAUPHIN,"MCLAUGHLIN, MARIA",DEM,0.00%,0
DAUPHIN,"BROBSON, KEVIN",REP,0.00%,0
DELAWARE,"MCLAUGHLIN, MARIA",DEM,0.00%,0
DELAWARE,"BROBSON, KEVIN",REP,0.00%,0
ELK,"MCLAUGHLIN, MARIA",DEM,0.00%,0
ELK,"BROBSON, KEVIN",REP,0.00%,0
ERIE,"MCLAUGHLIN, MARIA",DEM,0.00%,0
ERIE,"BROBSON, KEVIN",REP,0.00%,0
FAYETTE,"MCLAUGHLIN, MARIA",DEM,0.00%,0
FAYETTE,"BROBSON, KEVIN",REP,0.00%,0
FOREST,"MCLAUGHLIN, MARIA",DEM,0.00%,0
FOREST,"BROBSON, KEVIN",REP,0.00%,0
FRANKLIN,"MCLAUGHLIN, MARIA",DEM,0.00%,0
FRANKLIN,"BROBSON, KEVIN",REP,0.00%,0
FULTON,"MCLAUGHLIN, MARIA",DEM,0.00%,0
FULTON,"BROBSON, KEVIN",REP,0.00%,0
GREENE,"MCLAUGHLIN, MARIA",DEM,0.00%,0
GREENE,"BROBSON, KEVIN",REP,0.00%,0
HUNTINGDON,"MCLAUGHLIN, MARIA",DEM,0.00%,0
HUNTINGDON,"BROBSON, KEVIN",REP,0.00%,0
INDIANA,"MCLAUGHLIN, MARIA",DEM,0.00%,0
INDIANA,"BROBSON, KEVIN",REP,0.00%,0
JEFFERSON,"MCLAUGHLIN, MARIA",DEM,0.00%,0
JEFFERSON,"BROBSON, KEVIN",REP,0.00%,0
JUNIATA,"MCLAUGHLIN, MARIA",DEM,0.00%,0
JUNIATA,"BROBSON, KEVIN",REP,0.00%,0
LACKAWANNA,"MCLAUGHLIN, MARIA",DEM,0.00%,0
LACKAWANNA,"BROBSON, KEVIN",REP,0.00%,0
LANCASTER,"MCLAUGHLIN, MARIA",DEM,0.00%,0
LANCASTER,"BROBSON, KEVIN",REP,0.00%,0
