County,Candidate,Party,Share,Votes
ADAMS,"DUMAS, LORI A",DEM,18.46%,"7,109"
ADAMS,"SPURGEON, DAVID LEE",DEM,16.40%,"6,315"
ADAMS,"WALLACE, STACY MARIE",REP,33.24%,"12,801"
ADAMS,"CROMPTON, DREW",REP,31.90%,"12,287"
ALLEGHENY,"DUMAS, LORI A",DEM,31.62%,"170,805"
ALLEGHENY,"SPURGEON, DAVID LEE",DEM,30.21%,"163,170"
ALLEGHENY,"WALLACE, STACY MARIE",REP,19.51%,"105,394"
ALLEGHENY,"CROMPTON, DREW",REP,18.66%,"100,796"
ARMSTRONG,"DUMAS, LORI A",DEM,14.67%,"3,575"
ARMSTRONG,"SPURGEON, DAVID LEE",DEM,13.51%,"3,293"
ARMSTRONG,"WALLACE, STACY MARIE",REP,37.28%,"9,085"
ARMSTRONG,"CROMPTON, DREW",REP,34.54%,"8,418"
BEAVER,"DUMAS, LORI A",DEM,22.84%,"15,390"
BEAVER,"SPURGEON, DAVID LEE",DEM,20.72%,"13,959"
BEAVER,"WALLACE, STACY MARIE",REP,29.30%,"19,743"
BEAVER,"CROMPTON, DREW",REP,27.13%,"18,280"
BEDFORD,"DUMAS, LORI A",DEM,10.51%,"1,816"
BEDFORD,"SPURGEON, DAVID LEE",DEM,9.16%,"1,583"
BEDFORD,"WALLACE, STACY MARIE",REP,41.90%,"7,237"
BEDFORD,"CROMPTON, DREW",REP,38.43%,"6,638"
BERKS,"DUMAS, LORI A",DEM,22.25%,"29,801"
BERKS,"SPURGEON, DAVID LEE",DEM,19.54%,"26,165"
BERKS,"WALLACE, STACY MARIE",REP,29.97%,"40,130"
BERKS,"CROMPTON, DREW",REP,28.24%,"37,815"
BLAIR,"DUMAS, LORI A",DEM,13.67%,"6,413"
BLAIR,"SPURGEON, DAVID LEE",DEM,12.17%,"5,711"
BLAIR,"WALLACE, STACY MARIE",REP,38.19%,"17,917"
BLAIR,"CROMPTON, DREW",REP,35.98%,"16,880"
BRADFORD,"DUMAS, LORI A",DEM,13.82%,"2,933"
BRADFORD,"SPURGEON, DAVID LEE",DEM,12.00%,"2,548"
BRADFORD,"WALLACE, STACY MARIE",REP,38.75%,"8,226"
BRADFORD,"CROMPTON, DREW",REP,35.43%,"7,520"
BUCKS,"DUMAS, LORI A",DEM,25.47%,"90,157"
BUCKS,"SPURGEON, DAVID LEE",DEM,22.59%,"79,956"
BUCKS,"WALLACE, STACY MARIE",REP,26.50%,"93,819"
BUCKS,"CROMPTON, DREW",REP,25.44%,"90,069"
BUTLER,"DUMAS, LORI A",DEM,17.56%,"14,104"
BUTLER,"SPURGEON, DAVID LEE",DEM,16.15%,"12,976"
BUTLER,"WALLACE, STACY MARIE",REP,33.90%,"27,232"
BUTLER,"CROMPTON, DREW",REP,32.39%,"26,019"
CAMBRIA,"DUMAS, LORI A",DEM,18.65%,"10,091"
CAMBRIA,"SPURGEON, DAVID LEE",DEM,16.23%,"8,778"
CAMBRIA,"WALLACE, STACY MARIE",REP,34.31%,"18,560"
CAMBRIA,"CROMPTON, DREW",REP,30.82%,"16,671"
CAMERON,"DUMAS, LORI A",DEM,13.63%,297
CAMERON,"SPURGEON, DAVID LEE",DEM,10.92%,238
CAMERON,"WALLACE, STACY MARIE",REP,39.51%,861
CAMERON,"CROMPTON, DREW",REP,35.93%,783
CARBON,"DUMAS, LORI A",DEM,18.73%,"4,448"
CARBON,"SPURGEON, DAVID LEE",DEM,16.08%,"3,818"
CARBON,"WALLACE, STACY MARIE",REP,34.35%,"8,156"
CARBON,"CROMPTON, DREW",REP,30.84%,"7,322"
CENTRE,"DUMAS, LORI A",DEM,26.26%,"16,929"
CENTRE,"SPURGEON, DAVID LEE",DEM,24.52%,"15,804"
CENTRE,"WALLACE, STACY MARIE",REP,25.60%,"16,502"
CENTRE,"CROMPTON, DREW",REP,23.61%,"15,221"
CHESTER,"DUMAS, LORI A",DEM,27.80%,"74,483"
CHESTER,"SPURGEON, DAVID LEE",DEM,24.91%,"66,742"
CHESTER,"WALLACE, STACY MARIE",REP,24.01%,"64,334"
CHESTER,"CROMPTON, DREW",REP,23.28%,"62,384"
CLARION,"DUMAS, LORI A",DEM,12.84%,"2,053"
CLARION,"SPURGEON, DAVID LEE",DEM,12.34%,"1,973"
CLARION,"WALLACE, STACY MARIE",REP,38.91%,"6,223"
CLARION,"CROMPTON, DREW",REP,35.92%,"5,745"
CLEARFIELD,"DUMAS, LORI A",DEM,14.46%,"4,317"
CLEARFIELD,"SPURGEON, DAVID LEE",DEM,12.68%,"3,787"
CLEARFIELD,"WALLACE, STACY MARIE",REP,38.37%,"11,459"
CLEARFIELD,"CROMPTON, DREW",REP,34.50%,"10,302"
CLINTON,"DUMAS, LORI A",DEM,18.68%,"2,273"
CLINTON,"SPURGEON, DAVID LEE",DEM,16.54%,"2,013"
CLINTON,"WALLACE, STACY MARIE",REP,34.84%,"4,240"
CLINTON,"CROMPTON, DREW",REP,29.94%,"3,643"
COLUMBIA,"DUMAS, LORI A",DEM,17.89%,"3,885"
COLUMBIA,"SPURGEON, DAVID LEE",DEM,15.80%,"3,431"
COLUMBIA,"WALLACE, STACY MARIE",REP,34.23%,"7,432"
COLUMBIA,"CROMPTON, DREW",REP,32.07%,"6,964"
CRAWFORD,"DUMAS, LORI A",DEM,17.57%,"5,311"
CRAWFORD,"SPURGEON, DAVID LEE",DEM,15.78%,"4,769"
CRAWFORD,"WALLACE, STACY MARIE",REP,34.61%,"10,461"
CRAWFORD,"CROMPTON, DREW",REP,32.04%,"9,686"
CUMBERLAND,"DUMAS, LORI A",DEM,21.14%,"23,256"
CUMBERLAND,"SPURGEON, DAVID LEE",DEM,19.94%,"21,936"
CUMBERLAND,"WALLACE, STACY MARIE",REP,29.49%,"32,444"
CUMBERLAND,"CROMPTON, DREW",REP,29.43%,"32,371"
DAUPHIN,"DUMAS, LORI A",DEM,25.63%,"27,716"
DAUPHIN,"SPURGEON, DAVID LEE",DEM,21.51%,"23,253"
DAUPHIN,"WALLACE, STACY MARIE",REP,26.73%,"28,903"
DAUPHIN,"CROMPTON, DREW",REP,26.13%,"28,256"
DELAWARE,"DUMAS, LORI A",DEM,27.87%,"76,170"
DELAWARE,"SPURGEON, DAVID LEE",DEM,25.57%,"69,869"
DELAWARE,"WALLACE, STACY MARIE",REP,23.79%,"65,013"
DELAWARE,"CROMPTON, DREW",REP,22.77%,"62,242"
ELK,"DUMAS, LORI A",DEM,16.71%,"2,227"
ELK,"SPURGEON, DAVID LEE",DEM,14.92%,"1,989"
ELK,"WALLACE, STACY MARIE",REP,35.76%,"4,767"
ELK,"CROMPTON, DREW",REP,32.61%,"4,347"
ERIE,"DUMAS, LORI A",DEM,27.54%,"32,338"
ERIE,"SPURGEON, DAVID LEE",DEM,23.66%,"27,775"
ERIE,"WALLACE, STACY MARIE",REP,26.94%,"31,629"
ERIE,"CROMPTON, DREW",REP,21.86%,"25,661"
FAYETTE,"DUMAS, LORI A",DEM,21.83%,"8,680"
FAYETTE,"SPURGEON, DAVID LEE",DEM,20.15%,"8,012"
FAYETTE,"WALLACE, STACY MARIE",REP,30.68%,"12,198"
FAYETTE,"CROMPTON, DREW",REP,27.34%,"10,871"
FOREST,"DUMAS, LORI A",DEM,14.50%,402
FOREST,"SPURGEON, DAVID LEE",DEM,14.07%,390
FOREST,"WALLACE, STACY MARIE",REP,37.48%,"1,039"
FOREST,"CROMPTON, DREW",REP,33.95%,941
FRANKLIN,"DUMAS, LORI A",DEM,14.04%,"7,483"
FRANKLIN,"SPURGEON, DAVID LEE",DEM,12.52%,"6,673"
FRANKLIN,"WALLACE, STACY MARIE",REP,37.68%,"20,081"
FRANKLIN,"CROMPTON, DREW",REP,35.76%,"19,059"
FULTON,"DUMAS, LORI A",DEM,8.85%,484
FULTON,"SPURGEON, DAVID LEE",DEM,8.16%,446
FULTON,"WALLACE, STACY MARIE",REP,41.43%,"2,265"
FULTON,"CROMPTON, DREW",REP,41.56%,"2,272"
GREENE,"DUMAS, LORI A",DEM,18.74%,"2,601"
GREENE,"SPURGEON, DAVID LEE",DEM,17.91%,"2,485"
GREENE,"WALLACE, STACY MARIE",REP,32.45%,"4,504"
GREENE,"CROMPTON, DREW",REP,30.90%,"4,288"
HUNTINGDON,"DUMAS, LORI A",DEM,13.64%,"2,144"
HUNTINGDON,"SPURGEON, DAVID LEE",DEM,11.52%,"1,811"
HUNTINGDON,"WALLACE, STACY MARIE",REP,39.03%,"6,135"
HUNTINGDON,"CROMPTON, DREW",REP,35.81%,"5,630"
INDIANA,"DUMAS, LORI A",DEM,17.59%,"6,215"
INDIANA,"SPURGEON, DAVID LEE",DEM,16.36%,"5,780"
INDIANA,"WALLACE, STACY MARIE",REP,34.81%,"12,298"
INDIANA,"CROMPTON, DREW",REP,31.24%,"11,035"
JEFFERSON,"DUMAS, LORI A",DEM,11.22%,"2,005"
JEFFERSON,"SPURGEON, DAVID LEE",DEM,9.95%,"1,778"
JEFFERSON,"WALLACE, STACY MARIE",REP,41.29%,"7,378"
JEFFERSON,"CROMPTON, DREW",REP,37.53%,"6,706"
JUNIATA,"DUMAS, LORI A",DEM,11.04%,936
JUNIATA,"SPURGEON, DAVID LEE",DEM,9.68%,821
JUNIATA,"WALLACE, STACY MARIE",REP,40.37%,"3,424"
JUNIATA,"CROMPTON, DREW",REP,38.91%,"3,300"
LACKAWANNA,"DUMAS, LORI A",DEM,31.38%,"26,610"
LACKAWANNA,"SPURGEON, DAVID LEE",DEM,26.73%,"22,666"
LACKAWANNA,"WALLACE, STACY MARIE",REP,22.34%,"18,944"
LACKAWANNA,"CROMPTON, DREW",REP,19.56%,"16,589"
LANCASTER,"DUMAS, LORI A",DEM,19.74%,"40,260"
LANCASTER,"SPURGEON, DAVID LEE",DEM,17.57%,"35,849"
LANCASTER,"WALLACE, STACY MARIE",REP,31.99%,"65,246"
LANCASTER,"CROMPTON, DREW",REP,30.70%,"62,634"
LAWRENCE,"DUMAS, LORI A",DEM,20.29%,"6,193"
LAWRENCE,"SPURGEON, DAVID LEE",DEM,18.22%,"5,562"
LAWRENCE,"WALLACE, STACY MARIE",REP,32.20%,"9,830"
LAWRENCE,"CROMPTON, DREW",REP,29.29%,"8,939"
LEBANON,"DUMAS, LORI A",DEM,16.37%,"8,250"
LEBANON,"SPURGEON, DAVID LEE",DEM,14.32%,"7,217"
LEBANON,"WALLACE, STACY MARIE",REP,35.11%,"17,695"
LEBANON,"CROMPTON, DREW",REP,34.20%,"17,236"
LEHIGH,"DUMAS, LORI A",DEM,25.89%,"34,301"
LEHIGH,"SPURGEON, DAVID LEE",DEM,23.50%,"31,134"
LEHIGH,"WALLACE, STACY MARIE",REP,25.66%,"33,995"
LEHIGH,"CROMPTON, DREW",REP,24.95%,"33,056"
LUZERNE,"DUMAS, LORI A",DEM,22.34%,"23,185"
LUZERNE,"SPURGEON, DAVID LEE",DEM,19.88%,"20,628"
LUZERNE,"WALLACE, STACY MARIE",REP,29.94%,"31,064"
LUZERNE,"CROMPTON, DREW",REP,27.84%,"28,892"
LYCOMING,"DUMAS, LORI A",DEM,14.16%,"5,813"
LYCOMING,"SPURGEON, DAVID LEE",DEM,12.53%,"5,144"
LYCOMING,"WALLACE, STACY MARIE",REP,37.81%,"15,528"
LYCOMING,"CROMPTON, DREW",REP,35.50%,"14,580"
McKEAN,"DUMAS, LORI A",DEM,13.73%,"1,849"
McKEAN,"SPURGEON, DAVID LEE",DEM,11.44%,"1,540"
McKEAN,"WALLACE, STACY MARIE",REP,41.78%,"5,624"
McKEAN,"CROMPTON, DREW",REP,33.05%,"4,449"
MERCER,"DUMAS, LORI A",DEM,19.75%,"7,934"
MERCER,"SPURGEON, DAVID LEE",DEM,16.89%,"6,783"
MERCER,"WALLACE, STACY MARIE",REP,33.27%,"13,365"
MERCER,"CROMPTON, DREW",REP,30.09%,"12,089"
MIFFLIN,"DUMAS, LORI A",DEM,11.21%,"1,748"
MIFFLIN,"SPURGEON, DAVID LEE",DEM,10.09%,"1,574"
MIFFLIN,"WALLACE, STACY MARIE",REP,40.31%,"6,286"
MIFFLIN,"CROMPTON, DREW",REP,38.39%,"5,987"
MONROE,"DUMAS, LORI A",DEM,27.22%,"13,484"
MONROE,"SPURGEON, DAVID LEE",DEM,22.81%,"11,298"
MONROE,"WALLACE, STACY MARIE",REP,26.07%,"12,917"
MONROE,"CROMPTON, DREW",REP,23.90%,"11,841"
MONTGOMERY,"DUMAS, LORI A",DEM,31.08%,"129,187"
MONTGOMERY,"SPURGEON, DAVID LEE",DEM,28.37%,"117,934"
MONTGOMERY,"WALLACE, STACY MARIE",REP,20.86%,"86,720"
MONTGOMERY,"CROMPTON, DREW",REP,19.68%,"81,814"
MONTOUR,"DUMAS, LORI A",DEM,20.16%,"1,384"
MONTOUR,"SPURGEON, DAVID LEE",DEM,17.10%,"1,174"
MONTOUR,"WALLACE, STACY MARIE",REP,32.86%,"2,256"
MONTOUR,"CROMPTON, DREW",REP,29.89%,"2,052"
NORTHAMPTON,"DUMAS, LORI A",DEM,25.61%,"33,557"
NORTHAMPTON,"SPURGEON, DAVID LEE",DEM,23.87%,"31,272"
NORTHAMPTON,"WALLACE, STACY MARIE",REP,25.51%,"33,430"
NORTHAMPTON,"CROMPTON, DREW",REP,25.01%,"32,762"
NORTHUMBERLAND,"DUMAS, LORI A",DEM,17.07%,"4,851"
NORTHUMBERLAND,"SPURGEON, DAVID LEE",DEM,14.73%,"4,185"
NORTHUMBERLAND,"WALLACE, STACY MARIE",REP,35.36%,"10,050"
NORTHUMBERLAND,"CROMPTON, DREW",REP,32.84%,"9,333"
