County,Candidate,Party,Share,Votes
ADAMS,"LANE, TIMIKA",DEM,0.00%,0
ADAMS,"SULLIVAN , MEGAN",REP,0.00%,0
ALLEGHENY,"LANE, TIMIKA",DEM,0.00%,0
ALLEGHENY,"SULLIVAN , MEGAN",REP,0.00%,0
ARMSTRONG,"LANE, TIMIKA",DEM,0.00%,0
ARMSTRONG,"SULLIVAN , MEGAN",REP,0.00%,0
BEAVER,"LANE, TIMIKA",DEM,0.00%,0
BEAVER,"SULLIVAN , MEGAN",REP,0.00%,0
BEDFORD,"LANE, TIMIKA",DEM,0.00%,0
BEDFORD,"SULLIVAN , MEGAN",REP,0.00%,0
BERKS,"LANE, TIMIKA",DEM,0.00%,0
BERKS,"SULLIVAN , MEGAN",REP,0.00%,0
BLAIR,"LANE, TIMIKA",DEM,0.00%,0
BLAIR,"SULLIVAN , MEGAN",REP,0.00%,0
BRADFORD,"LANE, TIMIKA",DEM,0.00%,0
BRADFORD,"SULLIVAN , MEGAN",REP,0.00%,0
BUCKS,"LANE, TIMIKA",DEM,0.00%,0
BUCKS,"SULLIVAN , MEGAN",REP,0.00%,0
BUTLER,"LANE, TIMIKA",DEM,0.00%,0
BUTLER,"SULLIVAN , MEGAN",REP,0.00%,0
CAMBRIA,"LANE, TIMIKA",DEM,0.00%,0
CAMBRIA,"SULLIVAN , MEGAN",REP,0.00%,0
CAMERON,"LANE, TIMIKA",DEM,0.00%,0
CAMERON,"SULLIVAN , MEGAN",REP,0.00%,0
CARBON,"LANE, TIMIKA",DEM,0.00%,0
CARBON,"SULLIVAN , MEGAN",REP,0.00%,0
CENTRE,"LANE, TIMIKA",DEM,0.00%,0
CENTRE,"SULLIVAN , MEGAN",REP,0.00%,0
CHESTER,"LANE, TIMIKA",DEM,0.00%,0
CHESTER,"SULLIVAN , MEGAN",REP,0.00%,0
CLARION,"LANE, TIMIKA",DEM,0.00%,0
CLARION,"SULLIVAN , MEGAN",REP,0.00%,0
CLEARFIELD,"LANE, TIMIKA",DEM,0.00%,0
CLEARFIELD,"SULLIVAN , MEGAN",REP,0.00%,0
CLINTON,"LANE, TIMIKA",DEM,0.00%,0
CLINTON,"SULLIVAN , MEGAN",REP,0.00%,0
