County,Candidate,Party,Share,Votes
ADAMS,"DUMAS, LORI A",DEM,18.46%,"7,108"
ADAMS,"SPURGEON, DAVID LEE",DEM,16.39%,"6,312"
ADAMS,"WALLACE, STACY MARIE",REP,33.24%,"12,798"
ADAMS,"CROMPTON, DREW",REP,31.90%,"12,283"
ALLEGHENY,"DUMAS, LORI A",DEM,31.62%,"170,805"
ALLEGHENY,"SPURGEON, DAVID LEE",DEM,30.21%,"163,170"
ALLEGHENY,"WALLACE, STACY MARIE",REP,19.51%,"105,394"
ALLEGHENY,"CROMPTON, DREW",REP,18.66%,"100,796"
ARMSTRONG,"DUMAS, LORI A",DEM,14.67%,"3,575"
ARMSTRONG,"SPURGEON, DAVID LEE",DEM,13.51%,"3,293"
ARMSTRONG,"WALLACE, STACY MARIE",REP,37.28%,"9,085"
ARMSTRONG,"CROMPTON, DREW",REP,34.54%,"8,418"
BEAVER,"DUMAS, LORI A",DEM,22.81%,"15,329"
BEAVER,"SPURGEON, DAVID LEE",DEM,20.69%,"13,909"
BEAVER,"WALLACE, STACY MARIE",REP,29.34%,"19,721"
BEAVER,"CROMPTON, DREW",REP,27.16%,"18,255"
BEDFORD,"DUMAS, LORI A",DEM,10.63%,"1,774"
BEDFORD,"SPURGEON, DAVID LEE",DEM,9.31%,"1,554"
BEDFORD,"WALLACE, STACY MARIE",REP,41.75%,"6,970"
BEDFORD,"CROMPTON, DREW",REP,38.32%,"6,398"
BERKS,"DUMAS, LORI A",DEM,22.21%,"29,634"
BERKS,"SPURGEON, DAVID LEE",DEM,19.51%,"26,027"
BERKS,"WALLACE, STACY MARIE",REP,30.01%,"40,041"
BERKS,"CROMPTON, DREW",REP,28.28%,"37,733"
BLAIR,"DUMAS, LORI A",DEM,13.59%,"6,346"
BLAIR,"SPURGEON, DAVID LEE",DEM,12.09%,"5,645"
BLAIR,"WALLACE, STACY MARIE",REP,38.26%,"17,860"
BLAIR,"CROMPTON, DREW",REP,36.05%,"16,829"
BRADFORD,"DUMAS, LORI A",DEM,13.82%,"2,933"
BRADFORD,"SPURGEON, DAVID LEE",DEM,12.00%,"2,548"
BRADFORD,"WALLACE, STACY MARIE",REP,38.75%,"8,226"
BRADFORD,"CROMPTON, DREW",REP,35.43%,"7,520"
BUCKS,"DUMAS, LORI A",DEM,25.31%,"88,648"
BUCKS,"SPURGEON, DAVID LEE",DEM,22.43%,"78,545"
